"Project","RelPath","Length","LastWriteTime","Extension"
"App",".env.example","591","8/9/2025 8:33:40 PM",".example"
"App",".gitignore","55","8/26/2025 8:05:29 PM",".gitignore"
"App","Dict[str","0","8/13/2025 10:49:26 PM",""
"App","List[str]","0","8/13/2025 10:49:26 PM",""
"App","admin\build.bat","657","8/13/2025 10:53:45 PM",".bat"
"App","admin\clean_build_artifacts.cmd","216","8/13/2025 9:49:16 AM",".cmd"
"App","admin\make_release.cmd","559","8/13/2025 9:49:43 AM",".cmd"
"App","admin\open_dist.cmd","114","8/13/2025 9:49:07 AM",".cmd"
"App","admin\rebuild.cmd","104","8/13/2025 9:48:58 AM",".cmd"
"App","admin\run_dev.cmd","41","8/13/2025 9:48:52 AM",".cmd"
"App","admin\setup-glass.ps1","4230","8/19/2025 3:01:38 PM",".ps1"
"App","admin\tidy_move_minimal.cmd","2223","8/13/2025 9:16:08 AM",".cmd"
"App","admin\upgrade_to_pro.txt","480","8/9/2025 5:13:03 PM",".txt"
"App","archive_unused\1","0","8/13/2025 10:49:26 PM",""
"App","archive_unused\2","0","8/13/2025 10:49:26 PM",""
"App","archive_unused\9999","0","8/13/2025 10:49:29 PM",""
"App","archive_unused\9999)","0","8/13/2025 10:49:28 PM",""
"App","archive_unused\bool","0","8/13/2025 10:49:26 PM",""
"App","archive_unused\hwid.py.bak_removed","3249","8/18/2025 8:15:17 PM",".bak_removed"
"App","archive_unused\net.py.bak_removed","1046","8/18/2025 8:41:21 PM",".bak_removed"
"App","archive_unused\None","0","8/13/2025 10:49:26 PM",""
"App","archive_unused\paths.py.bak_removed","229","8/18/2025 8:41:21 PM",".bak_removed"
"App","archive_unused\project","70","8/13/2025 9:16:36 AM",""
"App","archive_unused\str","0","8/13/2025 10:49:28 PM",""
"App","archive_unused\TierInfo","0","8/13/2025 10:49:26 PM",""
"App","archive_unused\unlimited","0","8/13/2025 10:49:26 PM",""
"App","assets\icons\app.png","215","8/19/2025 11:33:18 PM",".png"
"App","assets\icons\glass.ico","11483","8/24/2025 11:51:46 AM",".ico"
"App","assets\icons\help.png","215","8/19/2025 11:33:18 PM",".png"
"App","assets\icons\lock.png","155","8/19/2025 11:33:18 PM",".png"
"App","assets\icons\target.png","161","8/19/2025 11:33:18 PM",".png"
"App","assets\icons\theme.png","207","8/19/2025 11:33:18 PM",".png"
"App","src\clean_to_minimal.cmd","1346","8/13/2025 8:51:16 AM",".cmd"
"App","src\Glass.spec","887","8/26/2025 7:59:58 PM",".spec"
"App","src\hwid.py","6123","8/22/2025 10:52:53 AM",".py"
"App","src\main_gui.py","39360","8/27/2025 9:17:56 AM",".py"
"App","src\main_gui.spec","703","8/23/2025 1:33:14 AM",".spec"
"App","src\net.py","4827","8/19/2025 1:08:33 PM",".py"
"App","src\overlay.py","9749","8/19/2025 6:57:43 PM",".py"
"App","src\paths.py","3514","8/19/2025 12:00:58 PM",".py"
"App","src\theme.py","6216","8/27/2025 9:40:39 AM",".py"
"App","src\theme_designer.py","13025","8/27/2025 9:53:43 AM",".py"
"App","src\tray_icon.py","4245","8/19/2025 5:48:06 PM",".py"
"App","src\version_110.txt","577","8/25/2025 9:46:18 PM",".txt"
"App","src\archive_unused\main_gui.py.bak","40867","8/19/2025 1:06:57 AM",".bak"
"App","src\archive_unused\main_gui.py.bak_hyphenfix","40403","8/19/2025 1:12:12 AM",".bak_hyphenfix"
"App","src\archive_unused\main_gui.py.bak_import_fix","40092","8/19/2025 12:09:19 AM",".bak_import_fix"
"App","src\archive_unused\main_gui.py.bak_strings","39500","8/18/2025 11:32:33 PM",".bak_strings"
"App","src\archive_unused\main_gui.py.bak_theme_tab","39664","8/18/2025 11:38:15 PM",".bak_theme_tab"
"App","src\archive_unused\main_gui.py.bak_uiBlock","39512","8/18/2025 11:34:26 PM",".bak_uiBlock"
"App","src\archive_unused\New Text Document.txt","0","8/18/2025 6:53:42 PM",".txt"
"App","src\assets\.keep","2","8/12/2025 7:13:04 PM",".keep"
"App","src\assets\glass.ico","11483","8/24/2025 11:51:46 AM",".ico"
"App","src\assets\hotkeys.json","238","7/31/2025 4:43:20 AM",".json"
"App","src\assets\icon.ico","14063","8/13/2025 10:36:14 AM",".ico"
"App","src\assets\manifest.json","0","8/9/2025 4:44:37 PM",".json"
"App","src\assets\themes\New Text Document.txt","0","8/13/2025 11:18:54 PM",".txt"
"App","src\assets\themes\Ocean.json","264","8/18/2025 6:55:40 PM",".json"
"App","src\assets\themes\orange.json","117","8/13/2025 11:19:10 PM",".json"
"App","src\assets\themes\slate.json","256","8/19/2025 8:14:53 PM",".json"
"App","src\core\license_client.py","1558","8/20/2025 4:38:59 PM",".py"
"App","src\core\New Text Document.txt","0","8/20/2025 4:38:36 PM",".txt"
"App","src\core\settings.py","4334","8/19/2025 2:05:27 PM",".py"
"App","src\core\__init__.py","0","8/12/2025 3:40:29 PM",".py"
"App","src\pro_bundle\globe_widget.py","7431","8/27/2025 9:53:36 AM",".py"
"App","src\pro_bundle\__init__.py","0","8/22/2025 8:26:15 AM",".py"
"App","src\pro_bundle\core\transparency.py","9107","8/21/2025 10:29:59 AM",".py"
"App","src\pro_bundle\core\window_utils.py","12151","8/21/2025 10:30:18 AM",".py"
"Server",".dockerignore","79","8/25/2025 9:14:51 PM",".dockerignore"
"Server",".env","970","8/23/2025 2:27:09 AM",".env"
"Server",".env.example","811","8/21/2025 8:06:04 PM",".example"
"Server",".gitignore","156","8/26/2025 8:38:47 PM",".gitignore"
"Server","admin.html","674","8/9/2025 2:08:11 PM",".html"
"Server","admin.ps1","2258","8/24/2025 7:21:21 AM",".ps1"
"Server","admin_ui.py","2447","8/11/2025 11:17:17 AM",".py"
"Server","db.py","4481","8/11/2025 3:30:00 PM",".py"
"Server","Dockerfile","223","8/22/2025 7:01:49 AM",""
"Server","getenv","0","8/10/2025 11:29:28 PM",""
"Server","glass.db","57344","8/22/2025 11:08:29 AM",".db"
"Server","helpers_webhook.py","991","8/10/2025 6:57:38 PM",".py"
"Server","init_db.py","431","8/11/2025 11:16:31 AM",".py"
"Server","init_referrals.py","321","8/11/2025 10:40:29 AM",".py"
"Server","license_api.py","7191","8/21/2025 7:40:43 PM",".py"
"Server","license_client.py","1864","8/22/2025 7:31:32 AM",".py"
"Server","mailer.py","722","8/11/2025 3:16:28 PM",".py"
"Server","main.py","25098","8/24/2025 9:15:10 AM",".py"
"Server","main_server.py","8606","8/13/2025 11:31:10 PM",".py"
"Server","migrate_add_revoked.py","724","8/11/2025 12:43:12 PM",".py"
"Server","models.sql","2254","8/11/2025 12:10:26 PM",".sql"
"Server","New Text Document.txt","7191","8/21/2025 7:40:31 PM",".txt"
"Server","openapi.json","828","8/10/2025 6:32:40 PM",".json"
"Server","ratelimit.py","275","8/10/2025 9:18:54 AM",".py"
"Server","referral_endpoints.py","5252","8/11/2025 12:24:50 PM",".py"
"Server","requirements.txt","63","8/22/2025 7:01:49 AM",".txt"
"Server","runtime.txt","129","8/10/2025 1:42:41 PM",".txt"
"Server","run_dev.bat","249","8/10/2025 7:05:36 PM",".bat"
"Server","schema_referrals.sql","1727","8/11/2025 10:39:58 AM",".sql"
"Server","security.py","240","8/10/2025 9:19:05 AM",".py"
"Server","utils.py","495","8/10/2025 9:19:14 AM",".py"
"Server","webhooks_gumroad.py","11213","8/11/2025 4:02:49 PM",".py"
"Server","_env_redacted.txt","668","8/21/2025 1:34:13 PM",".txt"
"Server","_filelist.txt","3489","8/21/2025 1:34:14 PM",".txt"
"Server","_pip_freeze.txt","10294","8/21/2025 1:34:23 PM",".txt"
"Server","_python_info.txt","32","8/21/2025 1:34:14 PM",".txt"
"Server","app\.env.example","591","8/9/2025 8:33:40 PM",".example"
"Server","app\.gitignore","55","8/26/2025 8:05:29 PM",".gitignore"
"Server","app\Dict[str","0","8/13/2025 10:49:26 PM",""
"Server","app\Glass.spec","819","8/26/2025 8:47:53 PM",".spec"
"Server","app\List[str]","0","8/13/2025 10:49:26 PM",""
"Server","app\admin\build.bat","657","8/13/2025 10:53:45 PM",".bat"
"Server","app\admin\clean_build_artifacts.cmd","216","8/13/2025 9:49:16 AM",".cmd"
"Server","app\admin\make_release.cmd","559","8/13/2025 9:49:43 AM",".cmd"
"Server","app\admin\open_dist.cmd","114","8/13/2025 9:49:07 AM",".cmd"
"Server","app\admin\rebuild.cmd","104","8/13/2025 9:48:58 AM",".cmd"
"Server","app\admin\run_dev.cmd","41","8/13/2025 9:48:52 AM",".cmd"
"Server","app\admin\setup-glass.ps1","4230","8/19/2025 3:01:38 PM",".ps1"
"Server","app\admin\tidy_move_minimal.cmd","2223","8/13/2025 9:16:08 AM",".cmd"
"Server","app\admin\upgrade_to_pro.txt","480","8/9/2025 5:13:03 PM",".txt"
"Server","app\archive_unused\1","0","8/13/2025 10:49:26 PM",""
"Server","app\archive_unused\2","0","8/13/2025 10:49:26 PM",""
"Server","app\archive_unused\9999","0","8/13/2025 10:49:29 PM",""
"Server","app\archive_unused\9999)","0","8/13/2025 10:49:28 PM",""
"Server","app\archive_unused\bool","0","8/13/2025 10:49:26 PM",""
"Server","app\archive_unused\hwid.py.bak_removed","3249","8/18/2025 8:15:17 PM",".bak_removed"
"Server","app\archive_unused\net.py.bak_removed","1046","8/18/2025 8:41:21 PM",".bak_removed"
"Server","app\archive_unused\None","0","8/13/2025 10:49:26 PM",""
"Server","app\archive_unused\paths.py.bak_removed","229","8/18/2025 8:41:21 PM",".bak_removed"
"Server","app\archive_unused\project","70","8/13/2025 9:16:36 AM",""
"Server","app\archive_unused\str","0","8/13/2025 10:49:28 PM",""
"Server","app\archive_unused\TierInfo","0","8/13/2025 10:49:26 PM",""
"Server","app\archive_unused\unlimited","0","8/13/2025 10:49:26 PM",""
"Server","app\assets\icons\app.png","215","8/19/2025 11:33:18 PM",".png"
"Server","app\assets\icons\glass.ico","11483","8/24/2025 11:51:46 AM",".ico"
"Server","app\assets\icons\help.png","215","8/19/2025 11:33:18 PM",".png"
"Server","app\assets\icons\lock.png","155","8/19/2025 11:33:18 PM",".png"
"Server","app\assets\icons\target.png","161","8/19/2025 11:33:18 PM",".png"
"Server","app\assets\icons\theme.png","207","8/19/2025 11:33:18 PM",".png"
"Server","app\src\clean_to_minimal.cmd","1346","8/13/2025 8:51:16 AM",".cmd"
"Server","app\src\Glass.spec","932","8/26/2025 8:59:18 PM",".spec"
"Server","app\src\hwid.py","6123","8/22/2025 10:52:53 AM",".py"
"Server","app\src\main_gui.py","35053","8/25/2025 9:06:53 PM",".py"
"Server","app\src\net.py","4827","8/19/2025 1:08:33 PM",".py"
"Server","app\src\overlay.py","9749","8/19/2025 6:57:43 PM",".py"
"Server","app\src\paths.py","3514","8/19/2025 12:00:58 PM",".py"
"Server","app\src\theme.py","8335","8/19/2025 1:17:15 PM",".py"
"Server","app\src\theme_designer.py","10979","8/20/2025 7:14:03 AM",".py"
"Server","app\src\tray_icon.py","4245","8/19/2025 5:48:06 PM",".py"
"Server","app\src\version_110.txt","577","8/25/2025 9:46:18 PM",".txt"
"Server","app\src\archive_unused\main_gui.py.bak","40867","8/19/2025 1:06:57 AM",".bak"
"Server","app\src\archive_unused\main_gui.py.bak_hyphenfix","40403","8/19/2025 1:12:12 AM",".bak_hyphenfix"
"Server","app\src\archive_unused\main_gui.py.bak_import_fix","40092","8/19/2025 12:09:19 AM",".bak_import_fix"
"Server","app\src\archive_unused\main_gui.py.bak_strings","39500","8/18/2025 11:32:33 PM",".bak_strings"
"Server","app\src\archive_unused\main_gui.py.bak_theme_tab","39664","8/18/2025 11:38:15 PM",".bak_theme_tab"
"Server","app\src\archive_unused\main_gui.py.bak_uiBlock","39512","8/18/2025 11:34:26 PM",".bak_uiBlock"
"Server","app\src\archive_unused\New Text Document.txt","0","8/18/2025 6:53:42 PM",".txt"
"Server","app\src\assets\.keep","2","8/12/2025 7:13:04 PM",".keep"
"Server","app\src\assets\glass.ico","11483","8/24/2025 11:51:46 AM",".ico"
"Server","app\src\assets\hotkeys.json","238","7/31/2025 4:43:20 AM",".json"
"Server","app\src\assets\icon.ico","14063","8/13/2025 10:36:14 AM",".ico"
"Server","app\src\assets\manifest.json","0","8/9/2025 4:44:37 PM",".json"
"Server","app\src\assets\themes\New Text Document.txt","0","8/13/2025 11:18:54 PM",".txt"
"Server","app\src\assets\themes\Ocean.json","264","8/18/2025 6:55:40 PM",".json"
"Server","app\src\assets\themes\orange.json","117","8/13/2025 11:19:10 PM",".json"
"Server","app\src\assets\themes\slate.json","256","8/19/2025 8:14:53 PM",".json"
"Server","app\src\core\license_client.py","1558","8/20/2025 4:38:59 PM",".py"
"Server","app\src\core\New Text Document.txt","0","8/20/2025 4:38:36 PM",".txt"
"Server","app\src\core\settings.py","4334","8/19/2025 2:05:27 PM",".py"
"Server","app\src\core\__init__.py","0","8/12/2025 3:40:29 PM",".py"
"Server","app\src\pro_bundle\globe_widget.py","6008","8/20/2025 9:36:55 AM",".py"
"Server","app\src\pro_bundle\__init__.py","0","8/22/2025 8:26:15 AM",".py"
"Server","app\src\pro_bundle\core\transparency.py","9107","8/21/2025 10:29:59 AM",".py"
"Server","app\src\pro_bundle\core\window_utils.py","12151","8/21/2025 10:30:18 AM",".py"
"Server","Profile\Procfile","58","8/10/2025 2:15:28 PM",""
"Server","static\GlassSetup.exe","0","8/22/2025 11:39:15 AM",".exe"
"Server","web\.env","949","8/9/2025 6:14:37 PM",".env"
"Server","web\404.html","1254","8/11/2025 12:45:16 PM",".html"
"Server","web\changelog.json","208","8/11/2025 12:41:42 PM",".json"
"Server","web\help.html","2014","7/30/2025 9:40:10 PM",".html"
"Server","web\index.html","6179","8/11/2025 12:39:55 PM",".html"
